Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_812,0.359,0,0,0.359,Non-Toxin
Pep_813,0.665,0,0,0.665,Toxin
Pep_814,0.855,0,0,0.855,Toxin
Pep_815,0.775,0,0,0.775,Toxin
Pep_816,0.867,0,0,0.867,Toxin
Pep_817,0.78,0,0,0.78,Toxin
Pep_818,0.714,0,0,0.714,Toxin
Pep_819,0.51,0,0,0.51,Non-Toxin
Pep_820,0.551,0,0,0.551,Non-Toxin
Pep_821,0.558,0,0,0.558,Non-Toxin
Pep_822,0.531,0,0,0.531,Non-Toxin
Pep_823,0.55,0,0,0.55,Non-Toxin
Pep_824,0.497,0,0,0.497,Non-Toxin
Pep_825,0.61,0,0,0.61,Toxin
Pep_826,0.558,0,0,0.558,Non-Toxin
Pep_827,0.73,0,0,0.73,Toxin
Pep_828,0.636,0,0,0.636,Toxin
Pep_829,0.523,0,0,0.523,Non-Toxin
Pep_830,0.539,0,0,0.539,Non-Toxin
Pep_831,0.609,0,0,0.609,Toxin
Pep_832,0.565,0,0,0.565,Non-Toxin
Pep_833,0.847,0,0,0.847,Toxin
Pep_834,0.775,0,0,0.775,Toxin
Pep_835,0.618,0,0,0.618,Toxin
Pep_836,0.642,0,0,0.642,Toxin
Pep_837,0.549,0,0,0.549,Non-Toxin
Pep_838,0.7,0,0,0.7,Toxin
Pep_839,0.596,0,0,0.596,Non-Toxin
Pep_840,0.605,0,0,0.605,Toxin
Pep_841,0.589,0,0,0.589,Non-Toxin
Pep_842,0.516,0,0,0.516,Non-Toxin
Pep_843,0.546,0,0,0.546,Non-Toxin
Pep_844,0.563,0,0,0.563,Non-Toxin
Pep_845,0.712,0,0,0.712,Toxin
Pep_846,0.814,0,0,0.814,Toxin
Pep_847,0.666,0,0,0.666,Toxin
Pep_848,0.691,0,0,0.691,Toxin
Pep_849,0.607,0,0,0.607,Toxin
Pep_850,0.552,0,0,0.552,Non-Toxin
Pep_851,0.685,0,0,0.685,Toxin
Pep_852,0.896,0,0,0.896,Toxin
Pep_853,0.615,0,0,0.615,Toxin
Pep_854,0.733,0,0,0.733,Toxin
Pep_855,0.699,0,0,0.699,Toxin
Pep_856,0.73,0,0,0.73,Toxin
Pep_857,0.568,0,0,0.568,Non-Toxin
Pep_858,0.587,0,0,0.587,Non-Toxin
Pep_859,0.566,0,0,0.566,Non-Toxin
Pep_860,0.478,0,0,0.478,Non-Toxin
Pep_861,0.78,0,0,0.78,Toxin
Pep_862,0.645,0,0,0.645,Toxin
Pep_863,0.648,0,0,0.648,Toxin
Pep_864,0.545,0,0,0.545,Non-Toxin
Pep_865,0.548,0,0,0.548,Non-Toxin
Pep_866,0.651,0,0,0.651,Toxin
Pep_867,0.89,0,0,0.89,Toxin
